column,type,description,SeqId,SomaId,TargetFullName,Target,UniProt,EntrezGeneID,EntrezGeneSymbol,Organism,Type,ColCheck,n_unique,n_missing,pct_missing
TMEM106A.10499.1.3,numeric,Transmembrane protein 106A (TMEM106A),10499-1,SL008733,Transmembrane protein 106A,T106A,Q96A25,113277,TMEM106A,Human,Protein,PASS,130,0,0
X.10501.3.3,numeric,,,,,,,,,,,,95,0,0
X.10502.15.3,numeric,Fc_MOUSE (),10502-15,SL025418,Fc_MOUSE,Fc_MOUSE,Q99LC4,"","",Mouse,Protein,PASS,123,0,0
X.10503.55.3,numeric,,,,,,,,,,,,137,0,0
X.10504.6.3,numeric,Fc_MOUSE (),10504-6,SL025418,Fc_MOUSE,Fc_MOUSE,Q99LC4,"","",Mouse,Protein,PASS,117,0,0
PGRMC2.10506.53.3,numeric,Membrane-associated progesterone receptor component 2 (PGRMC2),10506-53,SL007962,Membrane-associated progesterone receptor component 2,PGRC2,O15173,10424,PGRMC2,Human,Protein,PASS,120,0,0
ACRV1.10507.166.3,numeric,Acrosomal protein SP-10 (ACRV1),10507-166,SL009308,Acrosomal protein SP-10,sperm protein 10,P26436,56,ACRV1,Human,Protein,PASS,102,0,0
SCIMP.10510.62.3,numeric,SLP adapter and CSK-interacting membrane protein (SCIMP),10510-62,SL018612,SLP adapter and CSK-interacting membrane protein,SCIMP,Q6UWF3,388325,SCIMP,Human,Protein,PASS,93,0,0
COL6A3.10511.10.3,numeric,,,,,,,,,,,,148,0,0
CSF2RB.10512.13.3,numeric,Cytokine receptor common subunit beta (CSF2RB),10512-13,SL007194,Cytokine receptor common subunit beta,IL3RB,P32927,1439,CSF2RB,Human,Protein,PASS,95,0,0
KCNIP3.10513.13.3,numeric,Calsenilin (KCNIP3),10513-13,SL018613,Calsenilin,CSEN,Q9Y2W7,30818,KCNIP3,Human,Protein,PASS,117,0,0
PTGDS.10514.5.3,numeric,Prostaglandin-H2 D-isomerase (PTGDS),10514-5,SL005360,Prostaglandin-H2 D-isomerase,PGD2 synthase,P41222,5730,PTGDS,Human,Protein,PASS,152,0,0
