column,type,description,SeqId,SomaId,TargetFullName,Target,UniProt,EntrezGeneID,EntrezGeneSymbol,Organism,Type,ColCheck,n_unique,n_missing,pct_missing
KIF22.12734.112.3,numeric,Kinesin-like protein KIF22 (KIF22),12734-112,SL019869,Kinesin-like protein KIF22,KIF22,Q14807,"",KIF22,Human,Protein,PASS,84,0,0
CSDE1.12735.39.3,numeric,Cold shock domain-containing protein E1 (CSDE1),12735-39,SL007039,Cold shock domain-containing protein E1,CSDE1,O75534,7812,CSDE1,Human,Protein,PASS,113,0,0
PLS1.12737.12.3,numeric,Plastin-1 (PLS1),12737-12,SL015520,Plastin-1,PLSI,Q14651,5357,PLS1,Human,Protein,PASS,129,0,0
NISCH.12738.43.3,numeric,Nischarin (NISCH),12738-43,SL019897,Nischarin,NISCH,Q9Y2I1,"",NISCH,Human,Protein,PASS,137,0,0
FEV.12740.55.3,numeric,Protein FEV (FEV),12740-55,SL019853,Protein FEV,FEV,Q99581,"",FEV,Human,Protein,PASS,120,0,0
TMEM8B.12742.160.3,numeric,Transmembrane protein 8B (TMEM8B),12742-160,SL019870,Transmembrane protein 8B,TMM8B,A6NDV4,"",TMEM8B,Human,Protein,PASS,137,0,0
BAG5.12743.18.3,numeric,BAG family molecular chaperone regulator 5 (BAG5),12743-18,SL015328,BAG family molecular chaperone regulator 5,BAG5,Q9UL15,9529,BAG5,Human,Protein,PASS,109,0,0
CYTH4.12746.4.3,numeric,Cytohesin-4 (CYTH4),12746-4,SL019898,Cytohesin-4,CYH4,Q9UIA0,"",CYTH4,Human,Protein,PASS,152,0,0
RBM3.12747.89.3,numeric,RNA-binding protein 3 (RBM3),12747-89,SL010231,RNA-binding protein 3,RBM3,P98179,5935,RBM3,Human,Protein,PASS,150,0,0
BRDT.12748.6.3,numeric,Bromodomain testis-specific protein (BRDT),12748-6,SL019854,Bromodomain testis-specific protein,BRDT,Q58F21,"",BRDT,Human,Protein,PASS,111,0,0
ITGB2.12750.9.3,numeric,Integrin beta-2 (ITGB2),12750-9,SL004122,Integrin beta-2,LFA-1 beta-2,P05107,3689,ITGB2,Human,Protein,PASS,127,0,0
ZHX1.12751.26.3,numeric,Zinc fingers and homeoboxes protein 1 (ZHX1),12751-26,SL015327,Zinc fingers and homeoboxes protein 1,ZHX1,Q9UKY1,11244,ZHX1,Human,Protein,PASS,109,0,0
APBB2.12753.6.3,numeric,Amyloid beta A4 precursor protein-binding family B member 2 (APBB2),12753-6,SL007583,Amyloid beta A4 precursor protein-binding family B member 2,APBB2,Q92870,323,APBB2,Human,Protein,PASS,126,0,0
CSDC2.12754.14.3,numeric,Cold shock domain-containing protein C2 (CSDC2),12754-14,SL019899,Cold shock domain-containing protein C2,CSDC2,Q9Y534,"",CSDC2,Human,Protein,PASS,123,0,0
BACH2.12756.3.3,numeric,Transcription regulator protein BACH2 (BACH2),12756-3,SL019855,Transcription regulator protein BACH2,BACH2,Q9BYV9,"",BACH2,Human,Protein,PASS,126,0,0
GRID2.12758.47.3,numeric,"Glutamate receptor ionotropic, delta-2 (GRID2)",12758-47,SL019871,"Glutamate receptor ionotropic, delta-2",GRID2,O43424,"",GRID2,Human,Protein,PASS,112,0,0
ILF3.12759.47.3,numeric,Interleukin enhancer-binding factor 3 (ILF3),12759-47,SL004792,Interleukin enhancer-binding factor 3,DRBP76,Q12906,3609,ILF3,Human,Protein,PASS,106,0,0
ZNF774.12760.34.3,numeric,Zinc finger protein 774 (ZNF774),12760-34,SL019886,Zinc finger protein 774,ZN774,Q6NX45,"",ZNF774,Human,Protein,PASS,124,0,0
APBB2.12761.12.3,numeric,Amyloid beta A4 precursor protein-binding family B member 2 (APBB2),12761-12,SL007583,Amyloid beta A4 precursor protein-binding family B member 2,APBB2,Q92870,323,APBB2,Human,Protein,PASS,106,0,0
ZNF334.12763.69.3,numeric,Zinc finger protein 334 (ZNF334),12763-69,SL019908,Zinc finger protein 334,ZN334,Q9HCZ1,"",ZNF334,Human,Protein,PASS,118,0,0
ELMO1.12764.3.3,numeric,Engulfment and cell motility protein 1 (ELMO1),12764-3,SL019856,Engulfment and cell motility protein 1,ELMO1,Q92556,"",ELMO1,Human,Protein,PASS,110,0,0
GPR142.12766.33.3,numeric,Probable G-protein coupled receptor 142 (GPR142),12766-33,SL019872,Probable G-protein coupled receptor 142,GP142,Q7Z601,"",GPR142,Human,Protein,PASS,94,0,0
PPP1R3B.12768.3.3,numeric,Protein phosphatase 1 regulatory subunit 3B (PPP1R3B),12768-3,SL019887,Protein phosphatase 1 regulatory subunit 3B,PPR3B,Q86XI6,"",PPP1R3B,Human,Protein,PASS,135,0,0
ZNF180.12771.19.3,numeric,Zinc finger protein 180 (ZNF180),12771-19,SL011309,Zinc finger protein 180,ZN180,Q9UJW8,7733,ZNF180,Human,Protein,PASS,106,0,0
NUP98.12772.8.3,numeric,Nuclear pore complex protein Nup98-Nup96 (NUP98),12772-8,SL019857,Nuclear pore complex protein Nup98-Nup96,NUP98,P52948,"",NUP98,Human,Protein,PASS,106,0,0
HCN1.12774.12.3,numeric,Potassium/sodium hyperpolarization-activated cyclic nucleotide-gated channel 1 (HCN1),12774-12,SL019873,Potassium/sodium hyperpolarization-activated cyclic nucleotide-gated channel 1,HCN1,O60741,"",HCN1,Human,Protein,PASS,71,0,0
HMGB3.12775.6.3,numeric,High mobility group protein B3 (HMGB3),12775-6,SL006995,High mobility group protein B3,HMGB3,O15347,3149,HMGB3,Human,Protein,PASS,129,0,0
SF1.12777.11.3,numeric,Splicing factor 1 (SF1),12777-11,SL013086,Splicing factor 1,SF01,Q15637,7536,SF1,Human,Protein,PASS,120,0,0
PRDM4.12779.30.3,numeric,PR domain zinc finger protein 4 (PRDM4),12779-30,SL019909,PR domain zinc finger protein 4,PRDM4,Q9UKN5,"",PRDM4,Human,Protein,PASS,136,0,0
TARBP2.12781.2.3,numeric,RISC-loading complex subunit TARBP2 (TARBP2),12781-2,SL014970,RISC-loading complex subunit TARBP2,TRBP2,Q15633,6895,TARBP2,Human,Protein,PASS,107,0,0
HNRNPM.12783.29.3,numeric,Heterogeneous nuclear ribonucleoprotein M (HNRNPM),12783-29,SL008807,Heterogeneous nuclear ribonucleoprotein M,HNRPM,P52272,4670,HNRNPM,Human,Protein,PASS,139,0,0
APBB3.12784.10.3,numeric,Amyloid beta A4 precursor protein-binding family B member 3 (APBB3),12784-10,SL007058,Amyloid beta A4 precursor protein-binding family B member 3,APBB3,O95704,10307,APBB3,Human,Protein,PASS,110,0,0
ZBTB33.12785.49.3,numeric,Transcriptional regulator Kaiso (ZBTB33),12785-49,SL009382,Transcriptional regulator Kaiso,KAISO,Q86T24,10009,ZBTB33,Human,Protein,PASS,114,0,0
GPCPD1.12786.61.3,numeric,Glycerophosphocholine phosphodiesterase GPCPD1 (GPCPD1),12786-61,SL015257,Glycerophosphocholine phosphodiesterase GPCPD1,GDE5,Q9NPB8,56261,GPCPD1,Human,Protein,PASS,130,0,0
ZNF134.12787.47.3,numeric,Zinc finger protein 134 (ZNF134),12787-47,SL014834,Zinc finger protein 134,ZN134,P52741,7693,ZNF134,Human,Protein,PASS,95,0,0
CCDC101.12788.6.3,numeric,SAGA-associated factor 29 homolog (CCDC101),12788-6,SL019859,SAGA-associated factor 29 homolog,SGF29,Q96ES7,"",CCDC101,Human,Protein,PASS,117,0,0
CCDC51.12790.10.3,numeric,Coiled-coil domain-containing protein 51 (CCDC51),12790-10,SL019874,Coiled-coil domain-containing protein 51,CCD51,Q96ER9,"",CCDC51,Human,Protein,PASS,127,0,0
PIWIL1.12793.4.3,numeric,Piwi-like protein 1 (PIWIL1),12793-4,SL019894,Piwi-like protein 1,PIWL1,Q96J94,"",PIWIL1,Human,Protein,PASS,109,0,0
NLRP4.12794.6.3,numeric,"NACHT, LRR and PYD domains-containing protein 4 (NLRP4)",12794-6,SL019902,"NACHT, LRR and PYD domains-containing protein 4",NALP4,Q96MN2,"",NLRP4,Human,Protein,PASS,129,0,0
ZNF566.12795.2.3,numeric,Zinc finger protein 566 (ZNF566),12795-2,SL019910,Zinc finger protein 566,ZN566,Q969W8,"",ZNF566,Human,Protein,PASS,128,0,0
NUDT3.12796.44.3,numeric,Diphosphoinositol polyphosphate phosphohydrolase 1 (NUDT3),12796-44,SL019860,Diphosphoinositol polyphosphate phosphohydrolase 1,NUDT3,O95989,"",NUDT3,Human,Protein,PASS,122,0,0
SLC4A8.12798.46.3,numeric,Electroneutral sodium bicarbonate exchanger 1 (SLC4A8),12798-46,SL019875,Electroneutral sodium bicarbonate exchanger 1,S4A8,Q2Y0W8,"",SLC4A8,Human,Protein,PASS,101,0,0
DNAJC27.12799.65.3,numeric,DnaJ homolog subfamily C member 27 (DNAJC27),12799-65,SL019880,DnaJ homolog subfamily C member 27,DJC27,Q9NZQ0,"",DNAJC27,Human,Protein,PASS,102,0,0
TPPP2.12800.5.3,numeric,Tubulin polymerization-promoting protein family member 2 (TPPP2),12800-5,SL019890,Tubulin polymerization-promoting protein family member 2,TPPP2,P59282,"",TPPP2,Human,Protein,PASS,150,0,0
IRF2.12801.33.3,numeric,Interferon regulatory factor 2 (IRF2),12801-33,SL019895,Interferon regulatory factor 2,IRF2,P14316,"",IRF2,Human,Protein,PASS,96,0,0
ZNF329.12803.9.3,numeric,Zinc finger protein 329 (ZNF329),12803-9,SL019911,Zinc finger protein 329,ZN329,Q86UD4,"",ZNF329,Human,Protein,PASS,115,0,0
GMEB2.12804.5.3,numeric,Glucocorticoid modulatory element-binding protein 2 (GMEB2),12804-5,SL019919,Glucocorticoid modulatory element-binding protein 2,GMEB2,Q9UKD1,"",GMEB2,Human,Protein,PASS,133,0,0
ARHGAP30.12807.89.3,numeric,Rho GTPase-activating protein 30 (ARHGAP30),12807-89,SL019940,Rho GTPase-activating protein 30,RHG30,Q7Z6I6,"",ARHGAP30,Human,Protein,PASS,148,0,0
CARHSP1.12808.103.3,numeric,Calcium-regulated heat-stable protein 1 (CARHSP1),12808-103,SL013301,Calcium-regulated heat-stable protein 1,CHSP1,Q9Y2V2,23589,CARHSP1,Human,Protein,PASS,122,0,0
ZNF415.12811.55.3,numeric,Zinc finger protein 415 (ZNF415),12811-55,SL019912,Zinc finger protein 415,ZN415,Q09FC8,"",ZNF415,Human,Protein,PASS,119,0,0
ACYP2.12812.25.3,numeric,Acylphosphatase-2 (ACYP2),12812-25,SL009425,Acylphosphatase-2,ACYP2,P14621,98,ACYP2,Human,Protein,PASS,152,0,0
EHBP1.12813.18.3,numeric,EH domain-binding protein 1 (EHBP1),12813-18,SL006654,EH domain-binding protein 1,EHBP1,Q8NDI1,23301,EHBP1,Human,Protein,PASS,105,0,0
RNPC3.12814.17.3,numeric,RNA-binding protein 40 (RNPC3),12814-17,SL019933,RNA-binding protein 40,RBM40,Q96LT9,"",RNPC3,Human,Protein,PASS,120,0,0
IARS.12815.9.3,numeric,"Isoleucine--tRNA ligase, cytoplasmic (IARS)",12815-9,SL008104,"Isoleucine--tRNA ligase, cytoplasmic",SYIC,P41252,3376,IARS,Human,Protein,PASS,78,0,0
GEM.12817.1.3,numeric,GTP-binding protein GEM (GEM),12817-1,SL019954,GTP-binding protein GEM,GEM,P55040,"",GEM,Human,Protein,PASS,139,0,0
SLC14A2.12818.159.3,numeric,Urea transporter 2 (SLC14A2),12818-159,SL019965,Urea transporter 2,UT2,Q15849,"",SLC14A2,Human,Protein,PASS,105,0,0
GRAP.12820.1.3,numeric,,,,,,,,,,,,140,0,0
NLRP10.12821.6.3,numeric,"NACHT, LRR and PYD domains-containing protein 10 (NLRP10)",12821-6,SL019926,"NACHT, LRR and PYD domains-containing protein 10",NAL10,Q86W26,"",NLRP10,Human,Protein,PASS,130,0,0
APBB1.12822.34.3,numeric,Amyloid beta A4 precursor protein-binding family B member 1 (APBB1),12822-34,SL006959,Amyloid beta A4 precursor protein-binding family B member 1,APBB1,O00213,322,APBB1,Human,Protein,PASS,134,0,0
APPL1.12825.18.3,numeric,DCC-interacting protein 13-alpha (APPL1),12825-18,SL019955,DCC-interacting protein 13-alpha,DP13A,Q9UKG1,"",APPL1,Human,Protein,PASS,97,0,0
SLC5A5.12826.5.3,numeric,Sodium/iodide cotransporter (SLC5A5),12826-5,SL019966,Sodium/iodide cotransporter,SC5A5,Q92911,"",SLC5A5,Human,Protein,PASS,119,0,0
RGS3.12827.37.3,numeric,,,,,,,,,,,,123,0,0
SAP18.12830.4.3,numeric,Histone deacetylase complex subunit SAP18 (SAP18),12830-4,SL019934,Histone deacetylase complex subunit SAP18,SAP18,O00422,"",SAP18,Human,Protein,PASS,130,0,0
TESC.12831.21.3,numeric,Calcineurin B homologous protein 3 (TESC),12831-21,SL015132,Calcineurin B homologous protein 3,TESC,Q96BS2,54997,TESC,Human,Protein,PASS,140,0,0
ASH2L.12832.10.3,numeric,Set1/Ash2 histone methyltransferase complex subunit ASH2 (ASH2L),12832-10,SL019949,Set1/Ash2 histone methyltransferase complex subunit ASH2,ASH2L,Q9UBL3,9070,ASH2L,Human,Protein,PASS,129,0,0
KCNF1.12834.3.3,numeric,Potassium voltage-gated channel subfamily F member 1 (KCNF1),12834-3,SL019967,Potassium voltage-gated channel subfamily F member 1,KCNF1,Q9H3M0,"",KCNF1,Human,Protein,PASS,125,0,0
PYDC1.12835.101.3,numeric,Pyrin domain-containing protein 1 (PYDC1),12835-101,SL019914,Pyrin domain-containing protein 1,PYDC1,Q8WXC3,"",PYDC1,Human,Protein,PASS,95,0,0
DUSP15.12838.28.3,numeric,Dual specificity protein phosphatase 15 (DUSP15),12838-28,SL019935,Dual specificity protein phosphatase 15,DUS15,Q9H1R2,"",DUSP15,Human,Protein,PASS,89,0,0
STX10.12842.43.3,numeric,Syntaxin-10 (STX10),12842-43,SL019968,Syntaxin-10,STX10,O60499,"",STX10,Human,Protein,PASS,131,0,0
ZNF410.12843.6.3,numeric,Zinc finger protein 410 (ZNF410),12843-6,SL019915,Zinc finger protein 410,ZN410,Q86VK4,"",ZNF410,Human,Protein,PASS,113,0,0
BAG4.12844.10.3,numeric,BAG family molecular chaperone regulator 4 (BAG4),12844-10,SL006067,BAG family molecular chaperone regulator 4,BAG4,O95429,9530,BAG4,Human,Protein,PASS,126,0,0
SNX17.12845.18.3,numeric,Sorting nexin-17 (SNX17),12845-18,SL011225,Sorting nexin-17,SNX17,Q15036,9784,SNX17,Human,Protein,PASS,145,0,0
FBXL5.12846.3.3,numeric,F-box/LRR-repeat protein 5 (FBXL5),12846-3,SL019936,F-box/LRR-repeat protein 5,FBXL5,Q9UKA1,"",FBXL5,Human,Protein,PASS,102,0,0
RNGTT.12847.27.3,numeric,mRNA-capping enzyme (RNGTT),12847-27,SL019942,mRNA-capping enzyme,MCE1,O60942,"",RNGTT,Human,Protein,PASS,131,0,0
ARHGEF2.12848.9.3,numeric,Rho guanine nucleotide exchange factor 2 (ARHGEF2),12848-9,SL019951,Rho guanine nucleotide exchange factor 2,ARHG2,Q92974,9181,ARHGEF2,Human,Protein,PASS,116,0,0
GSKIP.12849.25.3,numeric,GSK3-beta interaction protein (GSKIP),12849-25,SL019958,GSK3-beta interaction protein,GSKIP,Q9P0R6,"",GSKIP,Human,Protein,PASS,115,0,0
POLM.12851.5.3,numeric,DNA-directed DNA/RNA polymerase mu (POLM),12851-5,SL019921,DNA-directed DNA/RNA polymerase mu,DPOLM,Q9NP87,"",POLM,Human,Protein,PASS,109,0,0
TMOD2.12853.112.3,numeric,Tropomodulin-2 (TMOD2),12853-112,SL019937,Tropomodulin-2,TMOD2,Q9NZR1,"",TMOD2,Human,Protein,PASS,105,0,0
TEAD3.12854.3.3,numeric,Transcriptional enhancer factor TEF-5 (TEAD3),12854-3,SL019943,Transcriptional enhancer factor TEF-5,TEAD3,Q99594,"",TEAD3,Human,Protein,PASS,111,0,0
CASS4.12855.16.3,numeric,Cas scaffolding protein family member 4 (CASS4),12855-16,SL011299,Cas scaffolding protein family member 4,CT032,Q9NQ75,57091,CASS4,Human,Protein,PASS,122,0,0
TMEM237.12856.14.3,numeric,Transmembrane protein 237 (TMEM237),12856-14,SL019959,Transmembrane protein 237,TM237,Q96Q45,"",TMEM237,Human,Protein,PASS,104,0,0
ECI2.12859.33.3,numeric,"Enoyl-CoA delta isomerase 2, mitochondrial (ECI2)",12859-33,SL007038,"Enoyl-CoA delta isomerase 2, mitochondrial",PECI,O75521,10455,ECI2,Human,Protein,PASS,140,0,0
ARPP21.12860.7.3,numeric,cAMP-regulated phosphoprotein 21 (ARPP21),12860-7,SL006617,cAMP-regulated phosphoprotein 21,cAMP-regulated phosphoprotein 21,Q9UBL0,10777,ARPP21,Human,Protein,PASS,111,0,0
TMOD3.12861.13.3,numeric,Tropomodulin-3 (TMOD3),12861-13,SL006759,Tropomodulin-3,TMOD3,Q9NYL9,29766,TMOD3,Human,Protein,PASS,150,0,0
NEDD9.12862.14.3,numeric,Enhancer of filamentation 1 (NEDD9),12862-14,SL014945,Enhancer of filamentation 1,CASL,Q14511,4739,NEDD9,Human,Protein,PASS,139,0,0
NIPAL4.12864.9.3,numeric,Magnesium transporter NIPA4 (NIPAL4),12864-9,SL019960,Magnesium transporter NIPA4,NIPA4,Q0D2K0,"",NIPAL4,Human,Protein,PASS,117,0,0
DYNLT3.12867.40.3,numeric,Dynein light chain Tctex-type 3 (DYNLT3),12867-40,SL019922,Dynein light chain Tctex-type 3,DYLT3,P51808,"",DYNLT3,Human,Protein,PASS,122,0,0
DDX6.12869.68.3,numeric,Probable ATP-dependent RNA helicase DDX6 (DDX6),12869-68,SL019938,Probable ATP-dependent RNA helicase DDX6,DDX6,P26196,"",DDX6,Human,Protein,PASS,142,0,0
TWF1.12871.10.3,numeric,Twinfilin-1 (TWF1),12871-10,SL013078,Twinfilin-1,TWF1,Q12792,5756,TWF1,Human,Protein,PASS,141,0,0
CNGA2.12872.35.3,numeric,Cyclic nucleotide-gated olfactory channel (CNGA2),12872-35,SL019961,Cyclic nucleotide-gated olfactory channel,CNGA2,Q16280,"",CNGA2,Human,Protein,PASS,128,0,0
SPN.12873.11.3,numeric,Leukosialin (SPN),12873-11,SL007131,Leukosialin,LEUK,P16150,6693,SPN,Human,Protein,PASS,75,0,0
UBTD2.12875.28.3,numeric,Ubiquitin domain-containing protein 2 (UBTD2),12875-28,SL019923,Ubiquitin domain-containing protein 2,UBTD2,Q8WUN7,"",UBTD2,Human,Protein,PASS,127,0,0
SPEF1.12876.39.3,numeric,Sperm flagellar protein 1 (SPEF1),12876-39,SL007787,Sperm flagellar protein 1,SPEF1,Q9Y4P9,25876,SPEF1,Human,Protein,PASS,100,0,0
OSBPL11.12878.60.3,numeric,Oxysterol-binding protein-related protein 11 (OSBPL11),12878-60,SL019944,Oxysterol-binding protein-related protein 11,OSB11,Q9BXB4,"",OSBPL11,Human,Protein,PASS,125,0,0
RBL1.12879.5.3,numeric,Retinoblastoma-like protein 1 (RBL1),12879-5,SL003759,Retinoblastoma-like protein 1,p107,P28749,5933,RBL1,Human,Protein,PASS,104,0,0
SV2A.12880.1.3,numeric,Synaptic vesicle glycoprotein 2A (SV2A),12880-1,SL019962,Synaptic vesicle glycoprotein 2A,SV2A,Q7L0J3,"",SV2A,Human,Protein,PASS,144,0,0
RDH16.12881.17.3,numeric,Retinol dehydrogenase 16 (RDH16),12881-17,SL019970,Retinol dehydrogenase 16,RDH16,O75452,"",RDH16,Human,Protein,PASS,149,0,0
PARP11.12882.7.3,numeric,Poly [ADP-ribose] polymerase 11 (PARP11),12882-7,SL019918,Poly [ADP-ribose] polymerase 11,PAR11,Q9NR21,"",PARP11,Human,Protein,PASS,129,0,0
NR1D2.12885.42.3,numeric,Nuclear receptor subfamily 1 group D member 2 (NR1D2),12885-42,SL007432,Nuclear receptor subfamily 1 group D member 2,NR1D2,Q14995,9975,NR1D2,Human,Protein,PASS,106,0,0
SAP30.12888.18.3,numeric,Histone deacetylase complex subunit SAP30 (SAP30),12888-18,SL012382,Histone deacetylase complex subunit SAP30,SAP30,O75446,8819,SAP30,Human,Protein,PASS,110,0,0
MICALL2.12891.1.3,numeric,,,,,,,,,,,,148,0,0
SYTL1.12892.10.3,numeric,Synaptotagmin-like protein 1 (SYTL1),12892-10,SL019931,Synaptotagmin-like protein 1,SYTL1,Q8IYJ3,"",SYTL1,Human,Protein,PASS,89,0,0
IFI16.12893.159.3,numeric,Gamma-interferon-inducible protein 16 (IFI16),12893-159,SL006071,Gamma-interferon-inducible protein 16,IP16,Q16666,3428,IFI16,Human,Protein,PASS,138,0,0
PAXIP1.12894.3.3,numeric,PAX-interacting protein 1 (PAXIP1),12894-3,SL019946,PAX-interacting protein 1,PAXI1,Q6ZW49,"",PAXIP1,Human,Protein,PASS,125,0,0
DGKB.12895.28.3,numeric,Diacylglycerol kinase beta (DGKB),12895-28,SL019952,Diacylglycerol kinase beta,DGKB,Q9Y6T7,"",DGKB,Human,Protein,PASS,95,0,0
X.12898.5.3,numeric,Fc_MOUSE (),12898-5,SL025418,Fc_MOUSE,Fc_MOUSE,Q99LC4,"","",Mouse,Protein,PASS,86,0,0
X.12900.29.3,numeric,,,,,,,,,,,,128,0,0
CUBN.12904.180.3,numeric,cubilin (CUBN),12904-180,SL004440,cubilin,cubilin,O60494,8029,CUBN,Human,Protein,PASS,74,0,0
X.12906.137.3,numeric,Fc_MOUSE (),12906-137,SL025418,Fc_MOUSE,Fc_MOUSE,Q99LC4,"","",Mouse,Protein,PASS,99,0,0
X.12912.25.3,numeric,Fc_MOUSE (),12912-25,SL025418,Fc_MOUSE,Fc_MOUSE,Q99LC4,"","",Mouse,Protein,PASS,136,0,0
X.12915.26.3,numeric,Fc_MOUSE (),12915-26,SL025418,Fc_MOUSE,Fc_MOUSE,Q99LC4,"","",Mouse,Protein,PASS,113,0,0
X.12921.51.3,numeric,Fc_MOUSE (),12921-51,SL025418,Fc_MOUSE,Fc_MOUSE,Q99LC4,"","",Mouse,Protein,PASS,89,0,0
KRT17.12923.51.3,numeric,"Keratin, type I cytoskeletal 17 (KRT17)",12923-51,SL005401,"Keratin, type I cytoskeletal 17",Keratin 17,Q04695,3872,KRT17,Human,Protein,PASS,132,0,0
AXIN2.12925.105.3,numeric,,,,,,,,,,,,137,0,0
NR3C2.12931.16.3,numeric,Mineralocorticoid receptor (NR3C2),12931-16,SL007088,Mineralocorticoid receptor,MCR,P08235,4306,NR3C2,Human,Protein,PASS,144,0,0
ENOX1.12933.17.3,numeric,,,,,,,,,,,,112,0,0
HERC5.12934.1.3,numeric,E3 ISG15--protein ligase HERC5 (HERC5),12934-1,SL015312,E3 ISG15--protein ligase HERC5,HERC5,Q9UII4,51191,HERC5,Human,Protein,PASS,141,0,0
RLBP1.12936.38.3,numeric,Retinaldehyde-binding protein 1 (RLBP1),12936-38,SL019347,Retinaldehyde-binding protein 1,RLBP1,P12271,"",RLBP1,Human,Protein,PASS,102,0,0
POLR1C.12939.1.3,numeric,,,,,,,,,,,,143,0,0
ALDH3B1.12940.35.3,numeric,Aldehyde dehydrogenase family 3 member B1 (ALDH3B1),12940-35,SL010891,Aldehyde dehydrogenase family 3 member B1,AL3B1,P43353,221,ALDH3B1,Human,Protein,PASS,121,0,0
X.12941.24.3,numeric,Fc_MOUSE (),12941-24,SL025418,Fc_MOUSE,Fc_MOUSE,Q99LC4,"","",Mouse,Protein,PASS,84,0,0
RAB18.12945.33.3,numeric,Ras-related protein Rab-18 (RAB18),12945-33,SL013869,Ras-related protein Rab-18,RAB18,Q9NP72,22931,RAB18,Human,Protein,PASS,147,0,0
PPARA.12954.71.3,numeric,Peroxisome proliferator-activated receptor alpha (PPARA),12954-71,SL005257,Peroxisome proliferator-activated receptor alpha,PPARa,Q07869,5465,PPARA,Human,Protein,PASS,115,0,0
KIAA1279.12956.40.3,numeric,KIF1-binding protein (KIAA1279),12956-40,SL019438,KIF1-binding protein,KBP,Q96EK5,"",KIAA1279,Human,Protein,PASS,135,0,0
UQCRB.12957.62.3,numeric,,,,,,,,,,,,139,0,0
X.12958.8.3,numeric,Fc_MOUSE (),12958-8,SL025418,Fc_MOUSE,Fc_MOUSE,Q99LC4,"","",Mouse,Protein,PASS,104,0,0
GCK.12960.9.3,numeric,Glucokinase (GCK),12960-9,SL007208,Glucokinase,HXK4,P35557,2645,GCK,Human,Protein,PASS,146,0,0
GPR107.12963.1.3,numeric,Protein GPR107 (GPR107),12963-1,SL015007,Protein GPR107,GP107,Q5VW38,57720,GPR107,Human,Protein,PASS,106,0,0
CSRP2.12968.2.3,numeric,Cysteine and glycine-rich protein 2 (CSRP2),12968-2,SL008213,Cysteine and glycine-rich protein 2,CSRP2,Q16527,1466,CSRP2,Human,Protein,PASS,133,0,0
STAU2.12970.35.3,numeric,Double-stranded RNA-binding protein Staufen homolog 2 (STAU2),12970-35,SL007715,Double-stranded RNA-binding protein Staufen homolog 2,STAU2,Q9NUL3,27067,STAU2,Human,Protein,PASS,98,0,0
KRT20.12975.11.3,numeric,"Keratin, type I cytoskeletal 20 (KRT20)",12975-11,SL002694,"Keratin, type I cytoskeletal 20",Keratin 20,P35900,54474,KRT20,Human,Protein,PASS,108,0,0
SORBS3.12976.49.3,numeric,Vinexin b (SORBS3),12976-49,SL001913,Vinexin b,Vinexin b,O60504,10174,SORBS3,Human,Protein,PASS,96,0,0
RBM22.12980.31.3,numeric,Pre-mRNA-splicing factor RBM22 (RBM22),12980-31,SL019459,Pre-mRNA-splicing factor RBM22,RBM22,Q9NW64,"",RBM22,Human,Protein,PASS,118,0,0
LIN7C.12986.12.3,numeric,Protein lin-7 homolog C (LIN7C),12986-12,SL019466,Protein lin-7 homolog C,LIN7C,Q9NUP9,"",LIN7C,Human,Protein,PASS,128,0,0
SRSF7.12987.12.3,numeric,Serine/arginine-rich splicing factor 7 (SRSF7),12987-12,SL019472,Serine/arginine-rich splicing factor 7,SRSF7,Q16629,"",SRSF7,Human,Protein,PASS,145,0,0
EWSR1.12988.49.3,numeric,RNA-binding protein EWS (EWSR1),12988-49,SL007342,RNA-binding protein EWS,EWS,Q01844,2130,EWSR1,Human,Protein,PASS,144,0,0
MAP3K3.12990.39.3,numeric,Mitogen-activated protein kinase kinase kinase 3 (MAP3K3),12990-39,SL005017,Mitogen-activated protein kinase kinase kinase 3,MAP3K3,Q99759,4215,MAP3K3,Human,Protein,PASS,102,0,0
CUL9.12991.49.3,numeric,,,,,,,,,,,,119,0,0
NPLOC4.12993.21.3,numeric,Nuclear protein localization protein 4 homolog (NPLOC4),12993-21,SL016487,Nuclear protein localization protein 4 homolog,NPL4,Q8TAT6,55666,NPLOC4,Human,Protein,PASS,134,0,0
LCN10.13007.66.3,numeric,,,,,,,,,,,,133,0,0
RPS10.13011.20.3,numeric,40S ribosomal protein S10 (RPS10),13011-20,SL008108,40S ribosomal protein S10,RS10,P46783,6204,RPS10,Human,Protein,PASS,134,0,0
PARK2.13013.41.3,numeric,E3 ubiquitin-protein ligase parkin (PARK2),13013-41,SL019524,E3 ubiquitin-protein ligase parkin,PRKN2,O60260,"",PARK2,Human,Protein,PASS,130,0,0
X.13021.12.3,numeric,Fc_MOUSE (),13021-12,SL025418,Fc_MOUSE,Fc_MOUSE,Q99LC4,"","",Mouse,Protein,PASS,130,0,0
TP53I11.13022.20.3,numeric,Tumor protein p53-inducible protein 11 (TP53I11),13022-20,SL019515,Tumor protein p53-inducible protein 11,P5I11,O14683,"",TP53I11,Human,Protein,PASS,151,0,0
X.13023.8.3,numeric,Fc_MOUSE (),13023-8,SL025418,Fc_MOUSE,Fc_MOUSE,Q99LC4,"","",Mouse,Protein,PASS,91,0,0
