column,type,description,n_unique,n_missing,pct_missing
AC005534.1_CD14_Monocyte,numeric,Expression level of gene AC005534.1 in cell type: CD14_Monocyte,6,0,0
AC005534.2_CD14_Monocyte,numeric,Expression level of gene AC005534.2 in cell type: CD14_Monocyte,9,0,0
AC005538.2_CD14_Monocyte,numeric,Expression level of gene AC005538.2 in cell type: CD14_Monocyte,5,0,0
AC005540.1_CD14_Monocyte,numeric,Expression level of gene AC005540.1 in cell type: CD14_Monocyte,14,0,0
AC005562.1_CD14_Monocyte,numeric,Expression level of gene AC005562.1 in cell type: CD14_Monocyte,80,0,0
AC005593.1_CD14_Monocyte,numeric,Expression level of gene AC005593.1 in cell type: CD14_Monocyte,13,0,0
AC005614.2_CD14_Monocyte,numeric,Expression level of gene AC005614.2 in cell type: CD14_Monocyte,51,0,0
AC005632.3_CD14_Monocyte,numeric,Expression level of gene AC005632.3 in cell type: CD14_Monocyte,49,0,0
AC005670.2_CD14_Monocyte,numeric,Expression level of gene AC005670.2 in cell type: CD14_Monocyte,44,0,0
AC005670.3_CD14_Monocyte,numeric,Expression level of gene AC005670.3 in cell type: CD14_Monocyte,53,0,0
AC005674.2_CD14_Monocyte,numeric,Expression level of gene AC005674.2 in cell type: CD14_Monocyte,29,0,0
AC005695.3_CD14_Monocyte,numeric,Expression level of gene AC005695.3 in cell type: CD14_Monocyte,4,0,0
AC005697.1_CD14_Monocyte,numeric,Expression level of gene AC005697.1 in cell type: CD14_Monocyte,8,0,0
AC005702.1_CD14_Monocyte,numeric,Expression level of gene AC005702.1 in cell type: CD14_Monocyte,22,0,0
AC005726.1_CD14_Monocyte,numeric,Expression level of gene AC005726.1 in cell type: CD14_Monocyte,39,0,0
AC005726.3_CD14_Monocyte,numeric,Expression level of gene AC005726.3 in cell type: CD14_Monocyte,18,0,0
AC005726.5_CD14_Monocyte,numeric,Expression level of gene AC005726.5 in cell type: CD14_Monocyte,7,0,0
AC005740.5_CD14_Monocyte,numeric,Expression level of gene AC005740.5 in cell type: CD14_Monocyte,15,0,0
AC005785.1_CD14_Monocyte,numeric,Expression level of gene AC005785.1 in cell type: CD14_Monocyte,25,0,0
AC005785.2_CD14_Monocyte,numeric,Expression level of gene AC005785.2 in cell type: CD14_Monocyte,25,0,0
AC005786.3_CD14_Monocyte,numeric,Expression level of gene AC005786.3 in cell type: CD14_Monocyte,24,0,0
AC005822.1_CD14_Monocyte,numeric,Expression level of gene AC005822.1 in cell type: CD14_Monocyte,15,0,0
AC005831.1_CD14_Monocyte,numeric,Expression level of gene AC005831.1 in cell type: CD14_Monocyte,11,0,0
AC005832.4_CD14_Monocyte,numeric,Expression level of gene AC005832.4 in cell type: CD14_Monocyte,38,0,0
AC005833.1_CD14_Monocyte,numeric,Expression level of gene AC005833.1 in cell type: CD14_Monocyte,120,0,0
AC005837.2_CD14_Monocyte,numeric,Expression level of gene AC005837.2 in cell type: CD14_Monocyte,55,0,0
AC005838.2_CD14_Monocyte,numeric,Expression level of gene AC005838.2 in cell type: CD14_Monocyte,23,0,0
AC005839.1_CD14_Monocyte,numeric,Expression level of gene AC005839.1 in cell type: CD14_Monocyte,52,0,0
AC005840.1_CD14_Monocyte,numeric,Expression level of gene AC005840.1 in cell type: CD14_Monocyte,19,0,0
AC005840.4_CD14_Monocyte,numeric,Expression level of gene AC005840.4 in cell type: CD14_Monocyte,8,0,0
AC005841.1_CD14_Monocyte,numeric,Expression level of gene AC005841.1 in cell type: CD14_Monocyte,7,0,0
AC005842.1_CD14_Monocyte,numeric,Expression level of gene AC005842.1 in cell type: CD14_Monocyte,16,0,0
AC005899.4_CD14_Monocyte,numeric,Expression level of gene AC005899.4 in cell type: CD14_Monocyte,129,0,0
AC005899.6_CD14_Monocyte,numeric,Expression level of gene AC005899.6 in cell type: CD14_Monocyte,10,0,0
AC005911.1_CD14_Monocyte,numeric,Expression level of gene AC005911.1 in cell type: CD14_Monocyte,6,0,0
AC005912.1_CD14_Monocyte,numeric,Expression level of gene AC005912.1 in cell type: CD14_Monocyte,305,0,0
AC005921.2_CD14_Monocyte,numeric,Expression level of gene AC005921.2 in cell type: CD14_Monocyte,8,0,0
AC005921.3_CD14_Monocyte,numeric,Expression level of gene AC005921.3 in cell type: CD14_Monocyte,15,0,0
AC005943.1_CD14_Monocyte,numeric,Expression level of gene AC005943.1 in cell type: CD14_Monocyte,317,0,0
AC005944.1_CD14_Monocyte,numeric,Expression level of gene AC005944.1 in cell type: CD14_Monocyte,92,0,0
AC006001.2_CD14_Monocyte,numeric,Expression level of gene AC006001.2 in cell type: CD14_Monocyte,36,0,0
AC006001.3_CD14_Monocyte,numeric,Expression level of gene AC006001.3 in cell type: CD14_Monocyte,133,0,0
AC006001.4_CD14_Monocyte,numeric,Expression level of gene AC006001.4 in cell type: CD14_Monocyte,56,0,0
AC006008.1_CD14_Monocyte,numeric,Expression level of gene AC006008.1 in cell type: CD14_Monocyte,6,0,0
AC006011.1_CD14_Monocyte,numeric,Expression level of gene AC006011.1 in cell type: CD14_Monocyte,50,0,0
AC006027.1_CD14_Monocyte,numeric,Expression level of gene AC006027.1 in cell type: CD14_Monocyte,11,0,0
AC006028.1_CD14_Monocyte,numeric,Expression level of gene AC006028.1 in cell type: CD14_Monocyte,16,0,0
AC006030.1_CD14_Monocyte,numeric,Expression level of gene AC006030.1 in cell type: CD14_Monocyte,55,0,0
AC006033.1_CD14_Monocyte,numeric,Expression level of gene AC006033.1 in cell type: CD14_Monocyte,3,0,0
AC006033.2_CD14_Monocyte,numeric,Expression level of gene AC006033.2 in cell type: CD14_Monocyte,8,0,0
AC006042.3_CD14_Monocyte,numeric,Expression level of gene AC006042.3 in cell type: CD14_Monocyte,7,0,0
AC006059.1_CD14_Monocyte,numeric,Expression level of gene AC006059.1 in cell type: CD14_Monocyte,86,0,0
AC006059.2_CD14_Monocyte,numeric,Expression level of gene AC006059.2 in cell type: CD14_Monocyte,55,0,0
AC006064.2_CD14_Monocyte,numeric,Expression level of gene AC006064.2 in cell type: CD14_Monocyte,55,0,0
AC006064.4_CD14_Monocyte,numeric,Expression level of gene AC006064.4 in cell type: CD14_Monocyte,116,0,0
AC006064.5_CD14_Monocyte,numeric,Expression level of gene AC006064.5 in cell type: CD14_Monocyte,15,0,0
AC006064.6_CD14_Monocyte,numeric,Expression level of gene AC006064.6 in cell type: CD14_Monocyte,246,0,0
AC006077.2_CD14_Monocyte,numeric,Expression level of gene AC006077.2 in cell type: CD14_Monocyte,47,0,0
AC006111.2_CD14_Monocyte,numeric,Expression level of gene AC006111.2 in cell type: CD14_Monocyte,6,0,0
AC006115.2_CD14_Monocyte,numeric,Expression level of gene AC006115.2 in cell type: CD14_Monocyte,4,0,0
AC006128.1_CD14_Monocyte,numeric,Expression level of gene AC006128.1 in cell type: CD14_Monocyte,8,0,0
AC006141.1_CD14_Monocyte,numeric,Expression level of gene AC006141.1 in cell type: CD14_Monocyte,42,0,0
AC006160.1_CD14_Monocyte,numeric,Expression level of gene AC006160.1 in cell type: CD14_Monocyte,14,0,0
AC006210.2_CD14_Monocyte,numeric,Expression level of gene AC006210.2 in cell type: CD14_Monocyte,8,0,0
AC006213.2_CD14_Monocyte,numeric,Expression level of gene AC006213.2 in cell type: CD14_Monocyte,24,0,0
AC006252.1_CD14_Monocyte,numeric,Expression level of gene AC006252.1 in cell type: CD14_Monocyte,6,0,0
AC006254.1_CD14_Monocyte,numeric,Expression level of gene AC006254.1 in cell type: CD14_Monocyte,104,0,0
AC006299.1_CD14_Monocyte,numeric,Expression level of gene AC006299.1 in cell type: CD14_Monocyte,4,0,0
AC006330.1_CD14_Monocyte,numeric,Expression level of gene AC006330.1 in cell type: CD14_Monocyte,17,0,0
AC006333.2_CD14_Monocyte,numeric,Expression level of gene AC006333.2 in cell type: CD14_Monocyte,24,0,0
AC006369.1_CD14_Monocyte,numeric,Expression level of gene AC006369.1 in cell type: CD14_Monocyte,25,0,0
AC006435.2_CD14_Monocyte,numeric,Expression level of gene AC006435.2 in cell type: CD14_Monocyte,10,0,0
AC006441.3_CD14_Monocyte,numeric,Expression level of gene AC006441.3 in cell type: CD14_Monocyte,25,0,0
AC006445.2_CD14_Monocyte,numeric,Expression level of gene AC006445.2 in cell type: CD14_Monocyte,4,0,0
AC006449.3_CD14_Monocyte,numeric,Expression level of gene AC006449.3 in cell type: CD14_Monocyte,4,0,0
AC006449.6_CD14_Monocyte,numeric,Expression level of gene AC006449.6 in cell type: CD14_Monocyte,45,0,0
AC006449.7_CD14_Monocyte,numeric,Expression level of gene AC006449.7 in cell type: CD14_Monocyte,54,0,0
AC006460.2_CD14_Monocyte,numeric,Expression level of gene AC006460.2 in cell type: CD14_Monocyte,20,0,0
AC006480.2_CD14_Monocyte,numeric,Expression level of gene AC006480.2 in cell type: CD14_Monocyte,13,0,0
AC006504.5_CD14_Monocyte,numeric,Expression level of gene AC006504.5 in cell type: CD14_Monocyte,17,0,0
AC006509.1_CD14_Monocyte,numeric,Expression level of gene AC006509.1 in cell type: CD14_Monocyte,5,0,0
AC006511.3_CD14_Monocyte,numeric,Expression level of gene AC006511.3 in cell type: CD14_Monocyte,100,0,0
AC006511.5_CD14_Monocyte,numeric,Expression level of gene AC006511.5 in cell type: CD14_Monocyte,142,0,0
AC006518.2_CD14_Monocyte,numeric,Expression level of gene AC006518.2 in cell type: CD14_Monocyte,6,0,0
AC006529.1_CD14_Monocyte,numeric,Expression level of gene AC006529.1 in cell type: CD14_Monocyte,12,0,0
AC006538.2_CD14_Monocyte,numeric,Expression level of gene AC006538.2 in cell type: CD14_Monocyte,15,0,0
AC006547.1_CD14_Monocyte,numeric,Expression level of gene AC006547.1 in cell type: CD14_Monocyte,17,0,0
AC006547.3_CD14_Monocyte,numeric,Expression level of gene AC006547.3 in cell type: CD14_Monocyte,21,0,0
AC006581.1_CD14_Monocyte,numeric,Expression level of gene AC006581.1 in cell type: CD14_Monocyte,4,0,0
AC006942.1_CD14_Monocyte,numeric,Expression level of gene AC006942.1 in cell type: CD14_Monocyte,6,0,0
AC006970.1_CD14_Monocyte,numeric,Expression level of gene AC006970.1 in cell type: CD14_Monocyte,36,0,0
AC006970.2_CD14_Monocyte,numeric,Expression level of gene AC006970.2 in cell type: CD14_Monocyte,45,0,0
AC006978.1_CD14_Monocyte,numeric,Expression level of gene AC006978.1 in cell type: CD14_Monocyte,115,0,0
AC006978.2_CD14_Monocyte,numeric,Expression level of gene AC006978.2 in cell type: CD14_Monocyte,27,0,0
AC007000.1_CD14_Monocyte,numeric,Expression level of gene AC007000.1 in cell type: CD14_Monocyte,7,0,0
AC007000.3_CD14_Monocyte,numeric,Expression level of gene AC007000.3 in cell type: CD14_Monocyte,11,0,0
AC007032.1_CD14_Monocyte,numeric,Expression level of gene AC007032.1 in cell type: CD14_Monocyte,48,0,0
AC007038.1_CD14_Monocyte,numeric,Expression level of gene AC007038.1 in cell type: CD14_Monocyte,3,0,0
AC007038.2_CD14_Monocyte,numeric,Expression level of gene AC007038.2 in cell type: CD14_Monocyte,4,0,0
AC007040.2_CD14_Monocyte,numeric,Expression level of gene AC007040.2 in cell type: CD14_Monocyte,6,0,0
AC007041.1_CD14_Monocyte,numeric,Expression level of gene AC007041.1 in cell type: CD14_Monocyte,6,0,0
AC007066.1_CD14_Monocyte,numeric,Expression level of gene AC007066.1 in cell type: CD14_Monocyte,7,0,0
AC007066.2_CD14_Monocyte,numeric,Expression level of gene AC007066.2 in cell type: CD14_Monocyte,19,0,0
AC007068.1_CD14_Monocyte,numeric,Expression level of gene AC007068.1 in cell type: CD14_Monocyte,97,0,0
AC007098.1_CD14_Monocyte,numeric,Expression level of gene AC007098.1 in cell type: CD14_Monocyte,7,0,0
AC007098.2_CD14_Monocyte,numeric,Expression level of gene AC007098.2 in cell type: CD14_Monocyte,5,0,0
AC007114.1_CD14_Monocyte,numeric,Expression level of gene AC007114.1 in cell type: CD14_Monocyte,22,0,0
AC007160.1_CD14_Monocyte,numeric,Expression level of gene AC007160.1 in cell type: CD14_Monocyte,58,0,0
AC007161.3_CD14_Monocyte,numeric,Expression level of gene AC007161.3 in cell type: CD14_Monocyte,42,0,0
AC007182.2_CD14_Monocyte,numeric,Expression level of gene AC007182.2 in cell type: CD14_Monocyte,52,0,0
AC007192.1_CD14_Monocyte,numeric,Expression level of gene AC007192.1 in cell type: CD14_Monocyte,333,0,0
AC007192.2_CD14_Monocyte,numeric,Expression level of gene AC007192.2 in cell type: CD14_Monocyte,15,0,0
AC007193.1_CD14_Monocyte,numeric,Expression level of gene AC007193.1 in cell type: CD14_Monocyte,4,0,0
AC007215.1_CD14_Monocyte,numeric,Expression level of gene AC007215.1 in cell type: CD14_Monocyte,15,0,0
AC007216.3_CD14_Monocyte,numeric,Expression level of gene AC007216.3 in cell type: CD14_Monocyte,31,0,0
AC007216.4_CD14_Monocyte,numeric,Expression level of gene AC007216.4 in cell type: CD14_Monocyte,38,0,0
AC007220.1_CD14_Monocyte,numeric,Expression level of gene AC007220.1 in cell type: CD14_Monocyte,8,0,0
AC007229.1_CD14_Monocyte,numeric,Expression level of gene AC007229.1 in cell type: CD14_Monocyte,26,0,0
AC007238.1_CD14_Monocyte,numeric,Expression level of gene AC007238.1 in cell type: CD14_Monocyte,115,0,0
AC007256.1_CD14_Monocyte,numeric,Expression level of gene AC007256.1 in cell type: CD14_Monocyte,9,0,0
AC007262.2_CD14_Monocyte,numeric,Expression level of gene AC007262.2 in cell type: CD14_Monocyte,6,0,0
AC007278.1_CD14_Monocyte,numeric,Expression level of gene AC007278.1 in cell type: CD14_Monocyte,8,0,0
AC007283.1_CD14_Monocyte,numeric,Expression level of gene AC007283.1 in cell type: CD14_Monocyte,103,0,0
AC007298.2_CD14_Monocyte,numeric,Expression level of gene AC007298.2 in cell type: CD14_Monocyte,28,0,0
AC007314.1_CD14_Monocyte,numeric,Expression level of gene AC007314.1 in cell type: CD14_Monocyte,25,0,0
AC007318.1_CD14_Monocyte,numeric,Expression level of gene AC007318.1 in cell type: CD14_Monocyte,45,0,0
AC007342.1_CD14_Monocyte,numeric,Expression level of gene AC007342.1 in cell type: CD14_Monocyte,13,0,0
AC007342.5_CD14_Monocyte,numeric,Expression level of gene AC007342.5 in cell type: CD14_Monocyte,6,0,0
AC007342.6_CD14_Monocyte,numeric,Expression level of gene AC007342.6 in cell type: CD14_Monocyte,9,0,0
AC007342.7_CD14_Monocyte,numeric,Expression level of gene AC007342.7 in cell type: CD14_Monocyte,7,0,0
AC007342.9_CD14_Monocyte,numeric,Expression level of gene AC007342.9 in cell type: CD14_Monocyte,3,0,0
AC007382.1_CD14_Monocyte,numeric,Expression level of gene AC007382.1 in cell type: CD14_Monocyte,28,0,0
AC007383.1_CD14_Monocyte,numeric,Expression level of gene AC007383.1 in cell type: CD14_Monocyte,54,0,0
AC007383.2_CD14_Monocyte,numeric,Expression level of gene AC007383.2 in cell type: CD14_Monocyte,15,0,0
AC007383.4_CD14_Monocyte,numeric,Expression level of gene AC007383.4 in cell type: CD14_Monocyte,4,0,0
AC007384.1_CD14_Monocyte,numeric,Expression level of gene AC007384.1 in cell type: CD14_Monocyte,39,0,0
AC007389.1_CD14_Monocyte,numeric,Expression level of gene AC007389.1 in cell type: CD14_Monocyte,11,0,0
AC007390.2_CD14_Monocyte,numeric,Expression level of gene AC007390.2 in cell type: CD14_Monocyte,28,0,0
AC007406.5_CD14_Monocyte,numeric,Expression level of gene AC007406.5 in cell type: CD14_Monocyte,25,0,0
AC007448.4_CD14_Monocyte,numeric,Expression level of gene AC007448.4 in cell type: CD14_Monocyte,23,0,0
AC007458.1_CD14_Monocyte,numeric,Expression level of gene AC007458.1 in cell type: CD14_Monocyte,16,0,0
AC007485.2_CD14_Monocyte,numeric,Expression level of gene AC007485.2 in cell type: CD14_Monocyte,6,0,0
AC007537.1_CD14_Monocyte,numeric,Expression level of gene AC007537.1 in cell type: CD14_Monocyte,20,0,0
AC007541.1_CD14_Monocyte,numeric,Expression level of gene AC007541.1 in cell type: CD14_Monocyte,5,0,0
AC007566.1_CD14_Monocyte,numeric,Expression level of gene AC007566.1 in cell type: CD14_Monocyte,29,0,0
AC007608.3_CD14_Monocyte,numeric,Expression level of gene AC007608.3 in cell type: CD14_Monocyte,10,0,0
AC007610.1_CD14_Monocyte,numeric,Expression level of gene AC007610.1 in cell type: CD14_Monocyte,22,0,0
AC007613.1_CD14_Monocyte,numeric,Expression level of gene AC007613.1 in cell type: CD14_Monocyte,31,0,0
AC007622.2_CD14_Monocyte,numeric,Expression level of gene AC007622.2 in cell type: CD14_Monocyte,10,0,0
AC007683.1_CD14_Monocyte,numeric,Expression level of gene AC007683.1 in cell type: CD14_Monocyte,41,0,0
AC007685.1_CD14_Monocyte,numeric,Expression level of gene AC007685.1 in cell type: CD14_Monocyte,6,0,0
AC007686.1_CD14_Monocyte,numeric,Expression level of gene AC007686.1 in cell type: CD14_Monocyte,21,0,0
AC007686.3_CD14_Monocyte,numeric,Expression level of gene AC007686.3 in cell type: CD14_Monocyte,27,0,0
AC007688.2_CD14_Monocyte,numeric,Expression level of gene AC007688.2 in cell type: CD14_Monocyte,91,0,0
AC007728.1_CD14_Monocyte,numeric,Expression level of gene AC007728.1 in cell type: CD14_Monocyte,24,0,0
AC007728.2_CD14_Monocyte,numeric,Expression level of gene AC007728.2 in cell type: CD14_Monocyte,22,0,0
AC007780.1_CD14_Monocyte,numeric,Expression level of gene AC007780.1 in cell type: CD14_Monocyte,102,0,0
AC007842.1_CD14_Monocyte,numeric,Expression level of gene AC007842.1 in cell type: CD14_Monocyte,3,0,0
AC007878.1_CD14_Monocyte,numeric,Expression level of gene AC007878.1 in cell type: CD14_Monocyte,16,0,0
AC007899.1_CD14_Monocyte,numeric,Expression level of gene AC007899.1 in cell type: CD14_Monocyte,8,0,0
AC007950.2_CD14_Monocyte,numeric,Expression level of gene AC007950.2 in cell type: CD14_Monocyte,17,0,0
AC007952.4_CD14_Monocyte,numeric,Expression level of gene AC007952.4 in cell type: CD14_Monocyte,94,0,0
AC007969.1_CD14_Monocyte,numeric,Expression level of gene AC007969.1 in cell type: CD14_Monocyte,241,0,0
AC007993.3_CD14_Monocyte,numeric,Expression level of gene AC007993.3 in cell type: CD14_Monocyte,5,0,0
AC007998.2_CD14_Monocyte,numeric,Expression level of gene AC007998.2 in cell type: CD14_Monocyte,11,0,0
AC008012.1_CD14_Monocyte,numeric,Expression level of gene AC008012.1 in cell type: CD14_Monocyte,109,0,0
AC008014.1_CD14_Monocyte,numeric,Expression level of gene AC008014.1 in cell type: CD14_Monocyte,26,0,0
AC008026.1_CD14_Monocyte,numeric,Expression level of gene AC008026.1 in cell type: CD14_Monocyte,95,0,0
AC008026.2_CD14_Monocyte,numeric,Expression level of gene AC008026.2 in cell type: CD14_Monocyte,91,0,0
AC008026.3_CD14_Monocyte,numeric,Expression level of gene AC008026.3 in cell type: CD14_Monocyte,24,0,0
AC008035.1_CD14_Monocyte,numeric,Expression level of gene AC008035.1 in cell type: CD14_Monocyte,18,0,0
AC008038.1_CD14_Monocyte,numeric,Expression level of gene AC008038.1 in cell type: CD14_Monocyte,291,0,0
AC008050.1_CD14_Monocyte,numeric,Expression level of gene AC008050.1 in cell type: CD14_Monocyte,17,0,0
AC008063.1_CD14_Monocyte,numeric,Expression level of gene AC008063.1 in cell type: CD14_Monocyte,2,0,0
AC008065.1_CD14_Monocyte,numeric,Expression level of gene AC008065.1 in cell type: CD14_Monocyte,11,0,0
AC008073.3_CD14_Monocyte,numeric,Expression level of gene AC008073.3 in cell type: CD14_Monocyte,37,0,0
AC008079.1_CD14_Monocyte,numeric,Expression level of gene AC008079.1 in cell type: CD14_Monocyte,22,0,0
AC008083.3_CD14_Monocyte,numeric,Expression level of gene AC008083.3 in cell type: CD14_Monocyte,12,0,0
AC008105.1_CD14_Monocyte,numeric,Expression level of gene AC008105.1 in cell type: CD14_Monocyte,17,0,0
AC008105.2_CD14_Monocyte,numeric,Expression level of gene AC008105.2 in cell type: CD14_Monocyte,36,0,0
AC008105.3_CD14_Monocyte,numeric,Expression level of gene AC008105.3 in cell type: CD14_Monocyte,141,0,0
AC008115.3_CD14_Monocyte,numeric,Expression level of gene AC008115.3 in cell type: CD14_Monocyte,24,0,0
AC008119.1_CD14_Monocyte,numeric,Expression level of gene AC008119.1 in cell type: CD14_Monocyte,17,0,0
AC008124.1_CD14_Monocyte,numeric,Expression level of gene AC008124.1 in cell type: CD14_Monocyte,73,0,0
AC008149.1_CD14_Monocyte,numeric,Expression level of gene AC008149.1 in cell type: CD14_Monocyte,2,0,0
AC008149.2_CD14_Monocyte,numeric,Expression level of gene AC008149.2 in cell type: CD14_Monocyte,9,0,0
AC008264.2_CD14_Monocyte,numeric,Expression level of gene AC008264.2 in cell type: CD14_Monocyte,34,0,0
AC008267.5_CD14_Monocyte,numeric,Expression level of gene AC008267.5 in cell type: CD14_Monocyte,15,0,0
AC008277.1_CD14_Monocyte,numeric,Expression level of gene AC008277.1 in cell type: CD14_Monocyte,17,0,0
AC008397.2_CD14_Monocyte,numeric,Expression level of gene AC008397.2 in cell type: CD14_Monocyte,12,0,0
AC008403.1_CD14_Monocyte,numeric,Expression level of gene AC008403.1 in cell type: CD14_Monocyte,10,0,0
AC008403.3_CD14_Monocyte,numeric,Expression level of gene AC008403.3 in cell type: CD14_Monocyte,13,0,0
AC008427.1_CD14_Monocyte,numeric,Expression level of gene AC008427.1 in cell type: CD14_Monocyte,17,0,0
AC008429.2_CD14_Monocyte,numeric,Expression level of gene AC008429.2 in cell type: CD14_Monocyte,12,0,0
AC008434.1_CD14_Monocyte,numeric,Expression level of gene AC008434.1 in cell type: CD14_Monocyte,9,0,0
AC008443.1_CD14_Monocyte,numeric,Expression level of gene AC008443.1 in cell type: CD14_Monocyte,43,0,0
AC008443.5_CD14_Monocyte,numeric,Expression level of gene AC008443.5 in cell type: CD14_Monocyte,17,0,0
AC008467.1_CD14_Monocyte,numeric,Expression level of gene AC008467.1 in cell type: CD14_Monocyte,8,0,0
AC008481.1_CD14_Monocyte,numeric,Expression level of gene AC008481.1 in cell type: CD14_Monocyte,8,0,0
AC008522.1_CD14_Monocyte,numeric,Expression level of gene AC008522.1 in cell type: CD14_Monocyte,3,0,0
AC008537.1_CD14_Monocyte,numeric,Expression level of gene AC008537.1 in cell type: CD14_Monocyte,14,0,0
AC008537.4_CD14_Monocyte,numeric,Expression level of gene AC008537.4 in cell type: CD14_Monocyte,25,0,0
AC008555.2_CD14_Monocyte,numeric,Expression level of gene AC008555.2 in cell type: CD14_Monocyte,10,0,0
AC008555.4_CD14_Monocyte,numeric,Expression level of gene AC008555.4 in cell type: CD14_Monocyte,57,0,0
AC008555.7_CD14_Monocyte,numeric,Expression level of gene AC008555.7 in cell type: CD14_Monocyte,8,0,0
AC008569.1_CD14_Monocyte,numeric,Expression level of gene AC008569.1 in cell type: CD14_Monocyte,63,0,0
AC008569.2_CD14_Monocyte,numeric,Expression level of gene AC008569.2 in cell type: CD14_Monocyte,32,0,0
AC008575.1_CD14_Monocyte,numeric,Expression level of gene AC008575.1 in cell type: CD14_Monocyte,99,0,0
AC008581.2_CD14_Monocyte,numeric,Expression level of gene AC008581.2 in cell type: CD14_Monocyte,103,0,0
AC008592.3_CD14_Monocyte,numeric,Expression level of gene AC008592.3 in cell type: CD14_Monocyte,8,0,0
AC008608.2_CD14_Monocyte,numeric,Expression level of gene AC008608.2 in cell type: CD14_Monocyte,6,0,0
AC008610.1_CD14_Monocyte,numeric,Expression level of gene AC008610.1 in cell type: CD14_Monocyte,5,0,0
AC008649.1_CD14_Monocyte,numeric,Expression level of gene AC008649.1 in cell type: CD14_Monocyte,15,0,0
AC008669.1_CD14_Monocyte,numeric,Expression level of gene AC008669.1 in cell type: CD14_Monocyte,9,0,0
AC008676.1_CD14_Monocyte,numeric,Expression level of gene AC008676.1 in cell type: CD14_Monocyte,19,0,0
AC008676.3_CD14_Monocyte,numeric,Expression level of gene AC008676.3 in cell type: CD14_Monocyte,39,0,0
AC008677.1_CD14_Monocyte,numeric,Expression level of gene AC008677.1 in cell type: CD14_Monocyte,12,0,0
AC008677.2_CD14_Monocyte,numeric,Expression level of gene AC008677.2 in cell type: CD14_Monocyte,80,0,0
AC008686.1_CD14_Monocyte,numeric,Expression level of gene AC008686.1 in cell type: CD14_Monocyte,13,0,0
AC008695.1_CD14_Monocyte,numeric,Expression level of gene AC008695.1 in cell type: CD14_Monocyte,251,0,0
AC008725.1_CD14_Monocyte,numeric,Expression level of gene AC008725.1 in cell type: CD14_Monocyte,30,0,0
AC008731.1_CD14_Monocyte,numeric,Expression level of gene AC008731.1 in cell type: CD14_Monocyte,11,0,0
AC008735.1_CD14_Monocyte,numeric,Expression level of gene AC008735.1 in cell type: CD14_Monocyte,9,0,0
AC008735.2_CD14_Monocyte,numeric,Expression level of gene AC008735.2 in cell type: CD14_Monocyte,13,0,0
AC008750.4_CD14_Monocyte,numeric,Expression level of gene AC008750.4 in cell type: CD14_Monocyte,44,0,0
AC008750.8_CD14_Monocyte,numeric,Expression level of gene AC008750.8 in cell type: CD14_Monocyte,72,0,0
AC008753.1_CD14_Monocyte,numeric,Expression level of gene AC008753.1 in cell type: CD14_Monocyte,35,0,0
AC008758.1_CD14_Monocyte,numeric,Expression level of gene AC008758.1 in cell type: CD14_Monocyte,32,0,0
AC008758.6_CD14_Monocyte,numeric,Expression level of gene AC008758.6 in cell type: CD14_Monocyte,4,0,0
AC008763.2_CD14_Monocyte,numeric,Expression level of gene AC008763.2 in cell type: CD14_Monocyte,288,0,0
AC008763.3_CD14_Monocyte,numeric,Expression level of gene AC008763.3 in cell type: CD14_Monocyte,280,0,0
AC008764.1_CD14_Monocyte,numeric,Expression level of gene AC008764.1 in cell type: CD14_Monocyte,19,0,0
AC008764.3_CD14_Monocyte,numeric,Expression level of gene AC008764.3 in cell type: CD14_Monocyte,4,0,0
AC008764.4_CD14_Monocyte,numeric,Expression level of gene AC008764.4 in cell type: CD14_Monocyte,41,0,0
AC008764.6_CD14_Monocyte,numeric,Expression level of gene AC008764.6 in cell type: CD14_Monocyte,1,0,0
AC008764.7_CD14_Monocyte,numeric,Expression level of gene AC008764.7 in cell type: CD14_Monocyte,16,0,0
AC008764.8_CD14_Monocyte,numeric,Expression level of gene AC008764.8 in cell type: CD14_Monocyte,17,0,0
AC008770.2_CD14_Monocyte,numeric,Expression level of gene AC008770.2 in cell type: CD14_Monocyte,53,0,0
AC008770.3_CD14_Monocyte,numeric,Expression level of gene AC008770.3 in cell type: CD14_Monocyte,11,0,0
AC008770.4_CD14_Monocyte,numeric,Expression level of gene AC008770.4 in cell type: CD14_Monocyte,85,0,0
AC008771.1_CD14_Monocyte,numeric,Expression level of gene AC008771.1 in cell type: CD14_Monocyte,31,0,0
AC008781.1_CD14_Monocyte,numeric,Expression level of gene AC008781.1 in cell type: CD14_Monocyte,12,0,0
AC008799.1_CD14_Monocyte,numeric,Expression level of gene AC008799.1 in cell type: CD14_Monocyte,15,0,0
AC008802.1_CD14_Monocyte,numeric,Expression level of gene AC008802.1 in cell type: CD14_Monocyte,12,0,0
AC008813.1_CD14_Monocyte,numeric,Expression level of gene AC008813.1 in cell type: CD14_Monocyte,12,0,0
AC008850.1_CD14_Monocyte,numeric,Expression level of gene AC008850.1 in cell type: CD14_Monocyte,8,0,0
AC008870.1_CD14_Monocyte,numeric,Expression level of gene AC008870.1 in cell type: CD14_Monocyte,35,0,0
AC008870.2_CD14_Monocyte,numeric,Expression level of gene AC008870.2 in cell type: CD14_Monocyte,7,0,0
AC008875.2_CD14_Monocyte,numeric,Expression level of gene AC008875.2 in cell type: CD14_Monocyte,19,0,0
