column,type,description,n_unique,n_missing,pct_missing
ABHD10_CD14_Monocyte,numeric,Expression level of gene ABHD10 in cell type: CD14_Monocyte,74,0,0
ABHD11_CD14_Monocyte,numeric,Expression level of gene ABHD11 in cell type: CD14_Monocyte,82,0,0
ABHD12_CD14_Monocyte,numeric,Expression level of gene ABHD12 in cell type: CD14_Monocyte,105,0,0
ABHD13_CD14_Monocyte,numeric,Expression level of gene ABHD13 in cell type: CD14_Monocyte,109,0,0
ABHD14A_CD14_Monocyte,numeric,Expression level of gene ABHD14A in cell type: CD14_Monocyte,57,0,0
ABHD14A-ACY1_CD14_Monocyte,numeric,Expression level of gene ABHD14A-ACY1 in cell type: CD14_Monocyte,42,0,0
ABHD14B_CD14_Monocyte,numeric,Expression level of gene ABHD14B in cell type: CD14_Monocyte,142,0,0
ABHD15_CD14_Monocyte,numeric,Expression level of gene ABHD15 in cell type: CD14_Monocyte,70,0,0
ABHD15-AS1_CD14_Monocyte,numeric,Expression level of gene ABHD15-AS1 in cell type: CD14_Monocyte,32,0,0
ABHD16A_CD14_Monocyte,numeric,Expression level of gene ABHD16A in cell type: CD14_Monocyte,91,0,0
ABHD17A_CD14_Monocyte,numeric,Expression level of gene ABHD17A in cell type: CD14_Monocyte,189,0,0
ABHD17AP3_CD14_Monocyte,numeric,Expression level of gene ABHD17AP3 in cell type: CD14_Monocyte,10,0,0
ABHD17B_CD14_Monocyte,numeric,Expression level of gene ABHD17B in cell type: CD14_Monocyte,60,0,0
ABHD17C_CD14_Monocyte,numeric,Expression level of gene ABHD17C in cell type: CD14_Monocyte,12,0,0
ABHD18_CD14_Monocyte,numeric,Expression level of gene ABHD18 in cell type: CD14_Monocyte,96,0,0
ABHD2_CD14_Monocyte,numeric,Expression level of gene ABHD2 in cell type: CD14_Monocyte,156,0,0
ABHD3_CD14_Monocyte,numeric,Expression level of gene ABHD3 in cell type: CD14_Monocyte,137,0,0
ABHD4_CD14_Monocyte,numeric,Expression level of gene ABHD4 in cell type: CD14_Monocyte,34,0,0
ABHD5_CD14_Monocyte,numeric,Expression level of gene ABHD5 in cell type: CD14_Monocyte,133,0,0
ABHD6_CD14_Monocyte,numeric,Expression level of gene ABHD6 in cell type: CD14_Monocyte,52,0,0
ABHD8_CD14_Monocyte,numeric,Expression level of gene ABHD8 in cell type: CD14_Monocyte,55,0,0
ABI1_CD14_Monocyte,numeric,Expression level of gene ABI1 in cell type: CD14_Monocyte,208,0,0
ABI2_CD14_Monocyte,numeric,Expression level of gene ABI2 in cell type: CD14_Monocyte,92,0,0
ABI3_CD14_Monocyte,numeric,Expression level of gene ABI3 in cell type: CD14_Monocyte,195,0,0
ABITRAM_CD14_Monocyte,numeric,Expression level of gene ABITRAM in cell type: CD14_Monocyte,45,0,0
ABL1_CD14_Monocyte,numeric,Expression level of gene ABL1 in cell type: CD14_Monocyte,79,0,0
ABL2_CD14_Monocyte,numeric,Expression level of gene ABL2 in cell type: CD14_Monocyte,96,0,0
ABLIM1_CD14_Monocyte,numeric,Expression level of gene ABLIM1 in cell type: CD14_Monocyte,115,0,0
ABLIM2_CD14_Monocyte,numeric,Expression level of gene ABLIM2 in cell type: CD14_Monocyte,9,0,0
ABO_CD14_Monocyte,numeric,Expression level of gene ABO in cell type: CD14_Monocyte,23,0,0
ABR_CD14_Monocyte,numeric,Expression level of gene ABR in cell type: CD14_Monocyte,158,0,0
ABRACL_CD14_Monocyte,numeric,Expression level of gene ABRACL in cell type: CD14_Monocyte,206,0,0
ABRAXAS1_CD14_Monocyte,numeric,Expression level of gene ABRAXAS1 in cell type: CD14_Monocyte,81,0,0
ABRAXAS2_CD14_Monocyte,numeric,Expression level of gene ABRAXAS2 in cell type: CD14_Monocyte,65,0,0
ABT1_CD14_Monocyte,numeric,Expression level of gene ABT1 in cell type: CD14_Monocyte,116,0,0
ABTB1_CD14_Monocyte,numeric,Expression level of gene ABTB1 in cell type: CD14_Monocyte,168,0,0
AC000089.1_CD14_Monocyte,numeric,Expression level of gene AC000089.1 in cell type: CD14_Monocyte,22,0,0
AC000093.1_CD14_Monocyte,numeric,Expression level of gene AC000093.1 in cell type: CD14_Monocyte,64,0,0
AC000120.1_CD14_Monocyte,numeric,Expression level of gene AC000120.1 in cell type: CD14_Monocyte,45,0,0
AC000120.2_CD14_Monocyte,numeric,Expression level of gene AC000120.2 in cell type: CD14_Monocyte,109,0,0
AC000120.3_CD14_Monocyte,numeric,Expression level of gene AC000120.3 in cell type: CD14_Monocyte,84,0,0
AC000123.2_CD14_Monocyte,numeric,Expression level of gene AC000123.2 in cell type: CD14_Monocyte,9,0,0
AC000123.3_CD14_Monocyte,numeric,Expression level of gene AC000123.3 in cell type: CD14_Monocyte,10,0,0
AC001226.2_CD14_Monocyte,numeric,Expression level of gene AC001226.2 in cell type: CD14_Monocyte,64,0,0
AC002056.1_CD14_Monocyte,numeric,Expression level of gene AC002056.1 in cell type: CD14_Monocyte,24,0,0
AC002066.1_CD14_Monocyte,numeric,Expression level of gene AC002066.1 in cell type: CD14_Monocyte,19,0,0
AC002075.2_CD14_Monocyte,numeric,Expression level of gene AC002075.2 in cell type: CD14_Monocyte,62,0,0
AC002094.1_CD14_Monocyte,numeric,Expression level of gene AC002094.1 in cell type: CD14_Monocyte,33,0,0
AC002094.2_CD14_Monocyte,numeric,Expression level of gene AC002094.2 in cell type: CD14_Monocyte,10,0,0
AC002094.4_CD14_Monocyte,numeric,Expression level of gene AC002094.4 in cell type: CD14_Monocyte,9,0,0
AC002116.1_CD14_Monocyte,numeric,Expression level of gene AC002116.1 in cell type: CD14_Monocyte,64,0,0
AC002116.2_CD14_Monocyte,numeric,Expression level of gene AC002116.2 in cell type: CD14_Monocyte,3,0,0
AC002310.1_CD14_Monocyte,numeric,Expression level of gene AC002310.1 in cell type: CD14_Monocyte,16,0,0
AC002310.4_CD14_Monocyte,numeric,Expression level of gene AC002310.4 in cell type: CD14_Monocyte,12,0,0
AC002350.2_CD14_Monocyte,numeric,Expression level of gene AC002350.2 in cell type: CD14_Monocyte,16,0,0
AC002401.1_CD14_Monocyte,numeric,Expression level of gene AC002401.1 in cell type: CD14_Monocyte,13,0,0
AC002460.2_CD14_Monocyte,numeric,Expression level of gene AC002460.2 in cell type: CD14_Monocyte,6,0,0
AC002463.1_CD14_Monocyte,numeric,Expression level of gene AC002463.1 in cell type: CD14_Monocyte,4,0,0
AC002467.1_CD14_Monocyte,numeric,Expression level of gene AC002467.1 in cell type: CD14_Monocyte,17,0,0
AC002470.2_CD14_Monocyte,numeric,Expression level of gene AC002470.2 in cell type: CD14_Monocyte,20,0,0
AC002550.1_CD14_Monocyte,numeric,Expression level of gene AC002550.1 in cell type: CD14_Monocyte,13,0,0
AC002553.1_CD14_Monocyte,numeric,Expression level of gene AC002553.1 in cell type: CD14_Monocyte,13,0,0
AC002553.2_CD14_Monocyte,numeric,Expression level of gene AC002553.2 in cell type: CD14_Monocyte,11,0,0
AC002558.1_CD14_Monocyte,numeric,Expression level of gene AC002558.1 in cell type: CD14_Monocyte,32,0,0
AC002558.3_CD14_Monocyte,numeric,Expression level of gene AC002558.3 in cell type: CD14_Monocyte,54,0,0
AC002985.1_CD14_Monocyte,numeric,Expression level of gene AC002985.1 in cell type: CD14_Monocyte,69,0,0
AC003002.1_CD14_Monocyte,numeric,Expression level of gene AC003002.1 in cell type: CD14_Monocyte,8,0,0
AC003002.2_CD14_Monocyte,numeric,Expression level of gene AC003002.2 in cell type: CD14_Monocyte,23,0,0
AC003006.1_CD14_Monocyte,numeric,Expression level of gene AC003006.1 in cell type: CD14_Monocyte,11,0,0
AC003071.1_CD14_Monocyte,numeric,Expression level of gene AC003071.1 in cell type: CD14_Monocyte,8,0,0
AC003072.1_CD14_Monocyte,numeric,Expression level of gene AC003072.1 in cell type: CD14_Monocyte,12,0,0
AC003102.1_CD14_Monocyte,numeric,Expression level of gene AC003102.1 in cell type: CD14_Monocyte,45,0,0
AC003681.1_CD14_Monocyte,numeric,Expression level of gene AC003681.1 in cell type: CD14_Monocyte,76,0,0
AC003688.1_CD14_Monocyte,numeric,Expression level of gene AC003688.1 in cell type: CD14_Monocyte,15,0,0
AC003973.2_CD14_Monocyte,numeric,Expression level of gene AC003973.2 in cell type: CD14_Monocyte,7,0,0
AC003991.2_CD14_Monocyte,numeric,Expression level of gene AC003991.2 in cell type: CD14_Monocyte,6,0,0
AC004039.1_CD14_Monocyte,numeric,Expression level of gene AC004039.1 in cell type: CD14_Monocyte,13,0,0
AC004057.1_CD14_Monocyte,numeric,Expression level of gene AC004057.1 in cell type: CD14_Monocyte,149,0,0
AC004067.1_CD14_Monocyte,numeric,Expression level of gene AC004067.1 in cell type: CD14_Monocyte,5,0,0
