column,type,description,n_unique,n_missing,pct_missing,levels
adrc_id,ID,ADRC participant unique identifier,644,0,0,
age_at_visit,numeric,Participant age at time of visit in years (values >90 are capped at 90+ for de-identification),380,52,2.18,
diagnosis_consensus,categorical,Consensus diagnosis assigned to the visit number,22,0,0,Healthy Control ; Healthy Control ; Healthy Control ; Lewy Body Disease ; Mild Cognitive Impairment ; Mild Cognitive Impairment ; Mild Cognitive Impairment ; Mild Cognitive Impairment ; Mild Cognitive Impairment ; Healthy Control ; Mild Cognitive Impairment ; Probable Alzheimers Disease ; Other ; Parkinsons Disease and Dementia ; Parkinsons Disease and Dementia ; Parkinsons Disease and Dementia ; Parkinsons Disease and Mild cognitive impairment ; Parkinsons Disease only ; Parkinsons Disease only ; Parkinsons Disease and Mild cognitive impairment ; Parkinsons Disease only ; Parkinsons Disease only ; Possible Alzheimers Disease ; Possible Alzheimers Disease ; Lewy Body Disease ; Possible Alzheimers Disease ; Other ; Probable Alzheimers Disease ; Probable Alzheimers Disease ; Lewy Body Disease ; Probable Alzheimers Disease ; Other ; Probable Alzheimers Disease ; Probable Alzheimers Disease ; unknown
visit_number,numeric,Visit number clinic visit number,10,0,0,
year_quarter,categorical,Year and quarter of diagnosis date (format: YYYY_Q),41,0,0,2015_3 ; 2015_4 ; 2016_1 ; 2016_2 ; 2016_3 ; 2016_4 ; 2017_1 ; 2017_2 ; 2017_3 ; 2017_4 ; 2018_1 ; 2018_2 ; 2018_3 ; 2018_4 ; 2019_1 ; 2019_2 ; 2019_3 ; 2019_4 ; 2020_1 ; 2020_2 ; 2020_3 ; 2020_4 ; 2021_1 ; 2021_2 ; 2021_3 ; 2021_4 ; 2022_1 ; 2022_2 ; 2022_3 ; 2022_4 ; 2023_1 ; 2023_2 ; 2023_3 ; 2023_4 ; 2024_1 ; 2024_2 ; 2024_3 ; 2024_4 ; 2025_1 ; 2025_2 ; 2025_3
