column,type,description,n_unique,n_missing,pct_missing,levels
Mean.ctx-lh-lateralorbitofrontal,numeric,Mean amyloid PET intensity in region: ctx-lh-lateralorbitofrontal,303,0,0,
Mean.ctx-lh-lingual,numeric,Mean amyloid PET intensity in region: ctx-lh-lingual,303,0,0,
Mean.ctx-lh-medialorbitofrontal,numeric,Mean amyloid PET intensity in region: ctx-lh-medialorbitofrontal,303,0,0,
Mean.ctx-lh-middletemporal,numeric,Mean amyloid PET intensity in region: ctx-lh-middletemporal,303,0,0,
Mean.ctx-lh-paracentral,numeric,Mean amyloid PET intensity in region: ctx-lh-paracentral,303,0,0,
Mean.ctx-lh-parahippocampal,numeric,Mean amyloid PET intensity in region: ctx-lh-parahippocampal,303,0,0,
Mean.ctx-lh-parsopercularis,numeric,Mean amyloid PET intensity in region: ctx-lh-parsopercularis,303,0,0,
Mean.ctx-lh-parsorbitalis,numeric,Mean amyloid PET intensity in region: ctx-lh-parsorbitalis,303,0,0,
Mean.ctx-lh-parstriangularis,numeric,Mean amyloid PET intensity in region: ctx-lh-parstriangularis,303,0,0,
Mean.ctx-lh-pericalcarine,numeric,Mean amyloid PET intensity in region: ctx-lh-pericalcarine,303,0,0,
Mean.ctx-lh-postcentral,numeric,Mean amyloid PET intensity in region: ctx-lh-postcentral,303,0,0,
Mean.ctx-lh-posteriorcingulate,numeric,Mean amyloid PET intensity in region: ctx-lh-posteriorcingulate,303,0,0,
Mean.ctx-lh-precentral,numeric,Mean amyloid PET intensity in region: ctx-lh-precentral,303,0,0,
Mean.ctx-lh-precuneus,numeric,Mean amyloid PET intensity in region: ctx-lh-precuneus,303,0,0,
Mean.ctx-lh-rostralanteriorcingulate,numeric,Mean amyloid PET intensity in region: ctx-lh-rostralanteriorcingulate,303,0,0,
Mean.ctx-lh-rostralmiddlefrontal,numeric,Mean amyloid PET intensity in region: ctx-lh-rostralmiddlefrontal,303,0,0,
Mean.ctx-lh-superiorfrontal,numeric,Mean amyloid PET intensity in region: ctx-lh-superiorfrontal,303,0,0,
Mean.ctx-lh-superiorparietal,numeric,Mean amyloid PET intensity in region: ctx-lh-superiorparietal,303,0,0,
Mean.ctx-lh-superiortemporal,numeric,Mean amyloid PET intensity in region: ctx-lh-superiortemporal,303,0,0,
Mean.ctx-lh-supramarginal,numeric,Mean amyloid PET intensity in region: ctx-lh-supramarginal,303,0,0,
Mean.ctx-lh-temporalpole,numeric,Mean amyloid PET intensity in region: ctx-lh-temporalpole,303,0,0,
Mean.ctx-lh-transversetemporal,numeric,Mean amyloid PET intensity in region: ctx-lh-transversetemporal,303,0,0,
Mean.ctx-lh-unknown,numeric,Mean amyloid PET intensity in region: ctx-lh-unknown,1,302,99.67,
Mean.ctx-rh-bankssts,numeric,Mean amyloid PET intensity in region: ctx-rh-bankssts,303,0,0,
Mean.ctx-rh-caudalanteriorcingulate,numeric,Mean amyloid PET intensity in region: ctx-rh-caudalanteriorcingulate,303,0,0,
Mean.ctx-rh-caudalmiddlefrontal,numeric,Mean amyloid PET intensity in region: ctx-rh-caudalmiddlefrontal,303,0,0,
Mean.ctx-rh-cuneus,numeric,Mean amyloid PET intensity in region: ctx-rh-cuneus,303,0,0,
Mean.ctx-rh-entorhinal,numeric,Mean amyloid PET intensity in region: ctx-rh-entorhinal,302,0,0,
Mean.ctx-rh-frontalpole,numeric,Mean amyloid PET intensity in region: ctx-rh-frontalpole,303,0,0,
Mean.ctx-rh-fusiform,numeric,Mean amyloid PET intensity in region: ctx-rh-fusiform,303,0,0,
Mean.ctx-rh-inferiorparietal,numeric,Mean amyloid PET intensity in region: ctx-rh-inferiorparietal,303,0,0,
Mean.ctx-rh-inferiortemporal,numeric,Mean amyloid PET intensity in region: ctx-rh-inferiortemporal,303,0,0,
Mean.ctx-rh-insula,numeric,Mean amyloid PET intensity in region: ctx-rh-insula,303,0,0,
Mean.ctx-rh-isthmuscingulate,numeric,Mean amyloid PET intensity in region: ctx-rh-isthmuscingulate,303,0,0,
Mean.ctx-rh-lateraloccipital,numeric,Mean amyloid PET intensity in region: ctx-rh-lateraloccipital,303,0,0,
Mean.ctx-rh-lateralorbitofrontal,numeric,Mean amyloid PET intensity in region: ctx-rh-lateralorbitofrontal,303,0,0,
Mean.ctx-rh-lingual,numeric,Mean amyloid PET intensity in region: ctx-rh-lingual,303,0,0,
Mean.ctx-rh-medialorbitofrontal,numeric,Mean amyloid PET intensity in region: ctx-rh-medialorbitofrontal,303,0,0,
Mean.ctx-rh-middletemporal,numeric,Mean amyloid PET intensity in region: ctx-rh-middletemporal,303,0,0,
Mean.ctx-rh-paracentral,numeric,Mean amyloid PET intensity in region: ctx-rh-paracentral,303,0,0,
Mean.ctx-rh-parahippocampal,numeric,Mean amyloid PET intensity in region: ctx-rh-parahippocampal,303,0,0,
Mean.ctx-rh-parsopercularis,numeric,Mean amyloid PET intensity in region: ctx-rh-parsopercularis,303,0,0,
Mean.ctx-rh-parsorbitalis,numeric,Mean amyloid PET intensity in region: ctx-rh-parsorbitalis,303,0,0,
Mean.ctx-rh-parstriangularis,numeric,Mean amyloid PET intensity in region: ctx-rh-parstriangularis,303,0,0,
Mean.ctx-rh-pericalcarine,numeric,Mean amyloid PET intensity in region: ctx-rh-pericalcarine,303,0,0,
