column,type,description,n_unique,n_missing,pct_missing,levels
Mean.ctx-lh-medialorbitofrontal,numeric,Mean tau PET intensity in region: ctx-lh-medialorbitofrontal,226,0,0,
Mean.ctx-lh-middletemporal,numeric,Mean tau PET intensity in region: ctx-lh-middletemporal,226,0,0,
Mean.ctx-lh-paracentral,numeric,Mean tau PET intensity in region: ctx-lh-paracentral,226,0,0,
Mean.ctx-lh-parahippocampal,numeric,Mean tau PET intensity in region: ctx-lh-parahippocampal,226,0,0,
Mean.ctx-lh-parsopercularis,numeric,Mean tau PET intensity in region: ctx-lh-parsopercularis,226,0,0,
Mean.ctx-lh-parsorbitalis,numeric,Mean tau PET intensity in region: ctx-lh-parsorbitalis,226,0,0,
Mean.ctx-lh-parstriangularis,numeric,Mean tau PET intensity in region: ctx-lh-parstriangularis,226,0,0,
Mean.ctx-lh-pericalcarine,numeric,Mean tau PET intensity in region: ctx-lh-pericalcarine,226,0,0,
Mean.ctx-lh-postcentral,numeric,Mean tau PET intensity in region: ctx-lh-postcentral,226,0,0,
Mean.ctx-lh-posteriorcingulate,numeric,Mean tau PET intensity in region: ctx-lh-posteriorcingulate,226,0,0,
Mean.ctx-lh-precentral,numeric,Mean tau PET intensity in region: ctx-lh-precentral,226,0,0,
Mean.ctx-lh-precuneus,numeric,Mean tau PET intensity in region: ctx-lh-precuneus,226,0,0,
Mean.ctx-lh-rostralanteriorcingulate,numeric,Mean tau PET intensity in region: ctx-lh-rostralanteriorcingulate,226,0,0,
Mean.ctx-lh-rostralmiddlefrontal,numeric,Mean tau PET intensity in region: ctx-lh-rostralmiddlefrontal,226,0,0,
Mean.ctx-lh-superiorfrontal,numeric,Mean tau PET intensity in region: ctx-lh-superiorfrontal,226,0,0,
Mean.ctx-lh-superiorparietal,numeric,Mean tau PET intensity in region: ctx-lh-superiorparietal,226,0,0,
Mean.ctx-lh-superiortemporal,numeric,Mean tau PET intensity in region: ctx-lh-superiortemporal,226,0,0,
Mean.ctx-lh-supramarginal,numeric,Mean tau PET intensity in region: ctx-lh-supramarginal,226,0,0,
Mean.ctx-lh-temporalpole,numeric,Mean tau PET intensity in region: ctx-lh-temporalpole,226,0,0,
Mean.ctx-lh-transversetemporal,numeric,Mean tau PET intensity in region: ctx-lh-transversetemporal,226,0,0,
Mean.ctx-rh-bankssts,numeric,Mean tau PET intensity in region: ctx-rh-bankssts,226,0,0,
Mean.ctx-rh-caudalanteriorcingulate,numeric,Mean tau PET intensity in region: ctx-rh-caudalanteriorcingulate,226,0,0,
Mean.ctx-rh-caudalmiddlefrontal,numeric,Mean tau PET intensity in region: ctx-rh-caudalmiddlefrontal,226,0,0,
Mean.ctx-rh-cuneus,numeric,Mean tau PET intensity in region: ctx-rh-cuneus,226,0,0,
Mean.ctx-rh-entorhinal,numeric,Mean tau PET intensity in region: ctx-rh-entorhinal,226,0,0,
Mean.ctx-rh-frontalpole,numeric,Mean tau PET intensity in region: ctx-rh-frontalpole,226,0,0,
Mean.ctx-rh-fusiform,numeric,Mean tau PET intensity in region: ctx-rh-fusiform,226,0,0,
Mean.ctx-rh-inferiorparietal,numeric,Mean tau PET intensity in region: ctx-rh-inferiorparietal,226,0,0,
Mean.ctx-rh-inferiortemporal,numeric,Mean tau PET intensity in region: ctx-rh-inferiortemporal,226,0,0,
Mean.ctx-rh-insula,numeric,Mean tau PET intensity in region: ctx-rh-insula,226,0,0,
Mean.ctx-rh-isthmuscingulate,numeric,Mean tau PET intensity in region: ctx-rh-isthmuscingulate,226,0,0,
Mean.ctx-rh-lateraloccipital,numeric,Mean tau PET intensity in region: ctx-rh-lateraloccipital,226,0,0,
Mean.ctx-rh-lateralorbitofrontal,numeric,Mean tau PET intensity in region: ctx-rh-lateralorbitofrontal,226,0,0,
Mean.ctx-rh-lingual,numeric,Mean tau PET intensity in region: ctx-rh-lingual,226,0,0,
Mean.ctx-rh-medialorbitofrontal,numeric,Mean tau PET intensity in region: ctx-rh-medialorbitofrontal,226,0,0,
Mean.ctx-rh-middletemporal,numeric,Mean tau PET intensity in region: ctx-rh-middletemporal,226,0,0,
Mean.ctx-rh-paracentral,numeric,Mean tau PET intensity in region: ctx-rh-paracentral,226,0,0,
Mean.ctx-rh-parahippocampal,numeric,Mean tau PET intensity in region: ctx-rh-parahippocampal,226,0,0,
Mean.ctx-rh-parsopercularis,numeric,Mean tau PET intensity in region: ctx-rh-parsopercularis,226,0,0,
Mean.ctx-rh-parsorbitalis,numeric,Mean tau PET intensity in region: ctx-rh-parsorbitalis,226,0,0,
Mean.ctx-rh-parstriangularis,numeric,Mean tau PET intensity in region: ctx-rh-parstriangularis,226,0,0,
Mean.ctx-rh-pericalcarine,numeric,Mean tau PET intensity in region: ctx-rh-pericalcarine,226,0,0,
Mean.ctx-rh-postcentral,numeric,Mean tau PET intensity in region: ctx-rh-postcentral,226,0,0,
Mean.ctx-rh-posteriorcingulate,numeric,Mean tau PET intensity in region: ctx-rh-posteriorcingulate,226,0,0,
Mean.ctx-rh-precentral,numeric,Mean tau PET intensity in region: ctx-rh-precentral,226,0,0,
Mean.ctx-rh-precuneus,numeric,Mean tau PET intensity in region: ctx-rh-precuneus,226,0,0,
Mean.ctx-rh-rostralanteriorcingulate,numeric,Mean tau PET intensity in region: ctx-rh-rostralanteriorcingulate,226,0,0,
Mean.ctx-rh-rostralmiddlefrontal,numeric,Mean tau PET intensity in region: ctx-rh-rostralmiddlefrontal,226,0,0,
Mean.ctx-rh-superiorfrontal,numeric,Mean tau PET intensity in region: ctx-rh-superiorfrontal,226,0,0,
Mean.ctx-rh-superiorparietal,numeric,Mean tau PET intensity in region: ctx-rh-superiorparietal,226,0,0,
